params,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cv_mse,std_cv_mse,mean_cv_rmse,std_cv_rmse,mean_cv_mae,std_cv_mae,mean_cv_r2,std_cv_r2
"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",,0.2,2,3,500,45749243.8870695,12240900.787704548,6722.10328344024,918.6168955267201,2892.0443169603036,149.42420718234987,0.880776071847051,0.030583991179871966
"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",,0.2,2,2,500,45749243.8870695,12240900.787704555,6722.103283440242,918.6168955267204,2892.0443169603036,149.42420718234987,0.880776071847051,0.030583991179872014
"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",28.0,0.2,2,3,300,46043034.87130592,12524459.844097517,6742.115871785888,938.2764326562451,2918.170014458312,142.50568373901208,0.8800159639937176,0.031316061797703895
"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",28.0,0.2,2,2,300,46043034.87130592,12524459.844097517,6742.115871785888,938.2764326562451,2918.170014458312,142.5056837390124,0.8800159639937176,0.031316061797703895
"{'max_depth': 24, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",24.0,0.2,2,2,300,46273232.89685602,12452025.719535816,6759.590872336009,933.6734992659857,2974.7603515956703,135.9960258352922,0.8794164752282639,0.03111296006305011
"{'max_depth': 24, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",24.0,0.2,2,3,300,46273232.89685602,12452025.719535816,6759.590872336009,933.6734992659857,2974.7603515956703,135.99602583529193,0.8794164752282639,0.03111296006305011
"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",28.0,0.2,2,3,500,46414122.360704266,12426336.298721232,6770.351575175809,929.8886297982565,2920.3034048529094,142.58632628158313,0.8790476155006649,0.03104129920821791
"{'max_depth': 28, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",28.0,0.2,2,2,500,46414122.360704266,12426336.298721235,6770.351575175809,929.8886297982569,2920.3034048529094,142.58632628158287,0.8790476155006649,0.03104129920821791
"{'max_depth': 24, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",24.0,0.2,2,3,500,46469723.95298884,12433468.008612635,6774.611115909783,928.1984010817265,2975.673662826437,140.40985170152467,0.8789009201184292,0.03106081956315362
"{'max_depth': 24, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",24.0,0.2,2,2,500,46469723.95298884,12433468.008612635,6774.611115909783,928.1984010817265,2975.673662826437,140.40985170152445,0.8789009201184292,0.03106081956315362
